name,symbol,price,market_cap,circulating_supply,total_supply,volume_24h,price_change_24h,link
Fartcoin,fartcoin,0.866046,870685798,999982971.715605,999982971.715605,239318070.0,1.51684,https://www.coingecko.com/en/coins/fartcoin
Peanut the Squirrel,pnut,0.231409,232190815,999858912.07,999858912.07,67192804.0,-1.40361,https://www.coingecko.com/en/coins/peanut-the-squirrel
TROLL,troll,0.170187,169886622,998944068.426556,998944068.426556,14070652.0,-6.44164,https://www.coingecko.com/en/coins/troll-2
MarsMi,marsmi,0.143674,143890275,999999992.295697,999999992.295697,320783.0,0.85086,https://www.coingecko.com/en/coins/marsmi
Moo Deng,moodeng,0.143268,142129089,989971791.17,989971791.17,31291943.0,-1.22143,https://www.coingecko.com/en/coins/moo-deng
PYTHIA,pythia,0.118806,118469091,998377795.455368,998377795.455368,6468926.0,5.24837,https://www.coingecko.com/en/coins/pythia
aura,aura,0.112491,108162875,963286001.000358,963286001.000358,4567639.0,7.98603,https://www.coingecko.com/en/coins/aura-on-sol
Goatseus Maximus,goat,0.091062,91614852,999991782.254692,999991782.254692,19951259.0,-4.19142,https://www.coingecko.com/en/coins/goatseus-maximus
Comedian,ban,0.090295,90405909,999961859.27,999961859.27,16346150.0,-0.60172,https://www.coingecko.com/en/coins/comedian
Alchemist AI,alch,0.085614,73251377,850000000.0,999955084.800612,27135374.0,-3.54176,https://www.coingecko.com/en/coins/alchemist-ai
Vine,vine,0.06877,68781977,999979024.531847,999979024.531847,22920228.0,0.68672,https://www.coingecko.com/en/coins/vine
Bertram The Pomeranian,bert,0.068163,66778297,978059585.837647,978059585.837647,5197542.0,1.90245,https://www.coingecko.com/en/coins/bertram-the-pomeranian
Unstable Coin,usduc,0.052334,52209490,999915812.977918,999915812.977918,3747946.0,1.98997,https://www.coingecko.com/en/coins/unstable-coin
Jelly-My-Jelly,jellyjelly,0.04628179,46229479,999999099.34,999999099.34,13034878.0,7.62504,https://www.coingecko.com/en/coins/jelly-my-jelly
Just a chill guy,chillguy,0.04514939,45182363,999951212.609076,999951212.609076,10949187.0,-4.49311,https://www.coingecko.com/en/coins/chill-guy
Fwog,fwog,0.04217554,41264780,975635328.0,975635328.0,3060064.0,-0.81664,https://www.coingecko.com/en/coins/fwog
GRIFFAIN,griffain,0.03986848,39987167,999862839.337152,999862839.327772,6172958.0,-1.94593,https://www.coingecko.com/en/coins/griffain
The Spirit of Gambling,tokabu,0.03683803,36789674,998687339.392546,998687339.392546,6750718.0,-6.31844,https://www.coingecko.com/en/coins/the-spirit-of-gambling
Act I The AI Prophecy,act,0.03783419,35990985,948244658.502297,948244658.502297,27189374.0,-3.7894,https://www.coingecko.com/en/coins/act-i-the-ai-prophecy
AIntivirus,ainti,0.0337323,33726760,999835787.794659,999835787.794659,0.0,0.0,https://www.coingecko.com/en/coins/aintivirus
Fartboy,$fartboy,0.0331606,33140301,999387940.2611854,999387940.2611854,357818.0,7.12249,https://www.coingecko.com/en/coins/fartboy
"Not in Employment, Education, or Training",neet,0.0313402,31339615,999811618.138547,999811618.138547,1582980.0,-6.0862,https://www.coingecko.com/en/coins/neet
AGENDA 47,a47,0.03054826,31046407,999966875.202303,999966875.202303,9290454.0,108.96735,https://www.coingecko.com/en/coins/agenda-47
Mansory Token,mnsry,0.03315912,29842689,899993842.0,899993842.0,1528180.0,0.14529,https://www.coingecko.com/en/coins/mansory-token
AGI ALPHA AGENT,agialpha,0.02791866,28054326,999988094.96899,999988094.96899,112209.0,0.1443,https://www.coingecko.com/en/coins/agi-alpha-agent
Private Aviation Finance Token,cino,0.04045751,26878454,659808699.509331,999999966.811568,59865.0,-2.78826,https://www.coingecko.com/en/coins/private-aviation-finance-token
Swarms,swarms,0.02463209,24606492,999984830.56,999984830.56,11241260.0,13.31409,https://www.coingecko.com/en/coins/swarms
Ava AI,ava,0.0238273,23993106,999226603.053415,999226603.053415,13985799.0,-4.8858,https://www.coingecko.com/en/coins/ava-ai
Hive AI,buzz,0.02361408,23551017,999856285.902965,999856285.902965,11213076.0,-5.94839,https://www.coingecko.com/en/coins/hive-ai
Codec Flow,codec,0.03082122,23044768,749901978.928548,999901980.715676,433945.0,3.53752,https://www.coingecko.com/en/coins/codec-flow
Unicorn Fart Dust,ufd,0.02283364,22853012,999991824.63,999991824.63,6375918.0,-4.34297,https://www.coingecko.com/en/coins/unicorn-fart-dust
CAT Terminal,cat,0.0224578,22672503,999966523.78,999966523.78,448198.0,-1.26622,https://www.coingecko.com/en/coins/cat-terminal
WOLF,wolf,0.02184784,21847394,999979486.584567,999979486.584567,223157.0,42.83333,https://www.coingecko.com/en/coins/wolf-2
STONKS,stonks,0.0215655,21563166,999933306.059626,999933306.059626,1181356.0,0.12314,https://www.coingecko.com/en/coins/stonks-5
Zerebro,zerebro,0.02123963,21374698,999954889.47256,999954889.47256,10225041.0,-2.47983,https://www.coingecko.com/en/coins/zerebro
庄,bundle,0.02044136,20559734,999993585.65832,999993585.65832,10.22,0.82674,https://www.coingecko.com/en/coins/village
pippin,pippin,0.01984624,19856788,999943942.143768,999943942.143768,9797819.0,-3.95977,https://www.coingecko.com/en/coins/pippin
Illusion of Life,spark,0.01968955,19849185,999935677.427022,999935677.427022,6695144.0,-20.98977,https://www.coingecko.com/en/coins/illusion-of-life
Moby AI,moby,0.01883776,18832540,999966557.520265,999966557.520265,1125511.0,-8.14701,https://www.coingecko.com/en/coins/moby-ai
AI Rig Complex,arc,0.01865888,18745296,999990821.807661,999990821.807661,3915594.0,-6.35476,https://www.coingecko.com/en/coins/ai-rig-complex
Collaterize,collat,0.01795017,17988679,999914577.758515,999914577.758515,1973668.0,-18.72774,https://www.coingecko.com/en/coins/collaterize
Verse World,verse,0.178885,17957060,99999991.408638,999999788.128076,4342577.0,0.61207,https://www.coingecko.com/en/coins/verse-world
Daddy Tate,daddy,0.02973605,17748831,599638323.442723,599638323.442723,704300.0,-0.60284,https://www.coingecko.com/en/coins/daddy-tate
QuStream,qst,0.01641281,16412579,999985719.555978,999985719.555978,622064.0,-13.93287,https://www.coingecko.com/en/coins/qustream
